,text,topic
882,It’s a new decade and women now hold more jobs than men but they also still hold onto the majority of household duties.,gender
883,"Providing health care to illegal aliens has become a widely supported plan among elected Democrats, while the overwhelming majority of Americans oppose it.",universal health care
884,"Hundreds of cases of respiratory distress have been reported in the past three months among Iranian schoolgirls, mainly in the city of Qom, south of Tehran, with some needing hospital treatment.",islam
885,"She’s among four dozen or so people gathered outside on a hot late-summer morning, joining a hard core of activists who believe that all vaccines are dangerous and who have become increasingly emboldened about denouncing the medical establishment.",vaccines
886,It took less than 24 hours for left-wingers to pledge burning down the country if Republicans don't abdicate their duty to fill a Supreme Court vacancy,vaccine
887,"Worth noting, however, is that Democrats have also been notably two-faced on gun control.",gun control
888,An avowed white supremacist pleaded guilty on Monday for planning bomb and shooting attacks at a synagogue and LGBTQ bar in Las Vegas. ,white nationalism
889,"Every corporate mainstream media organization has repeatedly claimed, without evidence, that tariffs were hurting U.S. consumers.",international politics and world news
890,"If you think the Left will ever abandon any of its cherished policy objectives merely because a majority of the American public strongly disagrees, you haven’t studied how the Left operates. ",gun control
891,"In the wake of the El Paso shooting, in which 22 were killed and 24 injured, the discovery of a racist manifesto that may be linked to the shooter has pushed white supremacist ideologies into prominence.",white nationalism
892,"Typical of this new breed was the senior policeman we saw in Bristol, explaining why he hadn’t intervened when a bronze statue of Edward Colston, a slave trader but also one of the city’s main historic benefactors, was pulled down in broad daylight by a masked thugs.",marriage equality
893,A U.S. advocacy group calling for tougher gun regulations said on Wednesday it will spend $8 million this year to support the campaigns of Texas politicians who back stronger restrictions on owning firearms.,gun control
894,The Senegalese was subjected to insults and monkey chants during the match against Inter Milan at San Siro on Boxing Day and was sent off for dissent late in the game with Napoli coach Carlo Ancelotti blaming his loss of temper on the atmosphere in the stadium.,sport
895,A Biden victory would be a victory for radical anti-Americanism.,islam
896,The desperate liars at NBC News are comparing President Trump to Democrat-segregationist George Wallace because he wants to protect America’s suburbs.,taxes
897,"Democrats are suddenly obsessed with Lev Parnas, the Rudy Giuliani associate who was indicted on federal campaign charges last fall.",taxes
898,It looks like FOX News cut a deal to make another sexual harassment suit go away.,#metoo
899,"Meanwhile, Britain’s police forces are notorious for focusing on matters of policing hate speech rather than violent crime, particularly with regard to Muslim grooming gangs.",islam
900,"President Trump’s new coronavirus adviser, Dr. Scott Atlas, said this massive number of tests will be deployed in a variety of ways, including to in-home care and senior centers.",vaccine
901,"Of all the pandering showcased during Democrats’ attempts to win back the presidency, wiping out student debt ranked at or near the top.",student debt
902,"The number of older women in the U.S. being screened for breast cancer increased after the Affordable Care Act (ACA) became law in 2010 and free preventive healthcare was guaranteed, according to a new study.",universal health care
903,"Tesla warned on Jan. 30 that it would see a 1-1.5 week delay in the ramp-up of Shanghai-built Model 3 cars as a result of the epidemic, which has severely disrupted communications and supply chains across China.",coronavirus
904,"Some movement leaders regrouped. Instead of stoking outrage, they set out to build support with another tack: Looking normal.",white nationalism
905,"As the coronavirus outbreak continues to spread across the U.S., nurses and other public health experts are warning that the country's public health system is unprepared to handle a pandemic and calling on the federal government to take more urgent steps to protect the American people from the disease.",vaccine
906,"Actress-turned-feminist activist Emily Ratajkowski and her husband are living in “prime NYC real estate” completely for free, according to a new report.",gender
907,"Starting in 2020, Medicare Advantage plans will also be able to offer supplemental non-health related benefits to chronically ill enrollees that address their social needs, CMS Administrator Seema Verma said. ",universal health care
908,Conservatives are rallying behind Vox journalist Matthew Yglesias after he was publically shamed by one of his colleagues for signing an open letter combatting cancel culture.,marriage equality
909,"A trio of polls released ahead of Wednesday’s Democratic presidential debate showed a majority of Americans support Medicare for All, but offered conflicting signals about whether the proposed healthcare overhaul could hurt the party in the November 2020 general election.",universal health care
910,"Already, American taxpayers are forced to annually subsidize about $18.5 billion in medical costs for illegal aliens, according to estimates by Chris Conover, formerly of the Center for Health Policy and Inequalities Research at Duke University.",universal health care
911,A resounding primary win by Democratic U.S. Representative Alexandria Ocasio-Cortez and a fellow liberal’s lead over a longtime New York congressman signaled fresh momentum for progressive politics amid growing calls for economic and racial justice in the United States.,blm
912,"We can’t ignore the emotional and psychological toll that our changing climate exacts, Mishra said. “",environment
913,"After marching in Monday’s Labor Day parade with Rep. Conor Lamb and Sen. Bob Casey in Pittsburgh, Biden will appear in the New York suburbs with Mikie Sherrill, a slight favorite to win a New Jersey congressional seat that has been in Republican hands for three decades.",middle class
914,It’s one of the reasons many women experience abortion regret.,abortion
915,"Warren has laid out a series of proposals including ones to end college debt, create universal child care and fight the opioid epidemic that she says she’d fund by taxing the mega wealthy through a $2.75 trillion tax on American households making more than $50 million annually.",middle class
916,"But make no mistake about it: Despite receiving widespread positive attention from many in the press, Ocasio-Cortez’s radical left-wing policy proposals and her socialist ideology present a significant threat to America’s economy and its longstanding commitment to individual liberty. ",gun control
917,"China announced retaliatory sanctions Monday against U.S. officials and entities, including Sen. Marco Rubio, R-Fla., after Washington sanctioned senior Chinese officials who it claimed are responsible for mass detentions, religious persecution and forced sterilization against Muslim Uighur minorities in China's Xinjiang province.",islam
918,Chinese officials demanded a public apology from a Danish newspaper on Tuesday for publishing a cartoon replacing the five stars on the national flag of the People's Republic of China with drawings of five microscopic particles of the coronavirus.,islam
919,"In one week, the U.S.-Iranian confrontation heated up, culminating with the rocket attack on U.S. troops in Iraqi bases.",islam
920,Graham frames his argument by pointing to the very genuine support given to LGBTQ Americans and the very American actions exhibited by the 2020 Democratic presidential candidates.,marriage equality
921,"U.S. President Donald Trump pledged on Wednesday to deliver a better healthcare system than Obamacare if the Supreme Court tosses out his predecessor’s signature domestic achievement, a potentially hazardous claim as he seeks re-election.",universal health care
922,It's long past time to stop excusing Donald Trump's racist trolling as the accidental bumblings of an idiot who doesn't know better.,black lives matter
923,"Mnuchin aroused controversy last week after he told reporters at the World Economic Forum in Davos, Switzerland, that he did not consider the outspoken Thunberg to be a legitimate critic of fossil fuel investments.",environment
924,"We used to think of interracial marriage as a sign of social progress. Now, thanks to The New York Times, we know it’s just another sinister tool of white supremacy.",white nationalism
925,‘The most progressive president since FDR’: Biden's policy proposals reveal a pleasant surprise,universal health care
926,"While the major baseball leagues won’t be affected much by tariffs on Chinese imports, everyone from Double A players down through the office softball team will be.",sport
927,"However, much of the research into climate-related health impacts has, historically, focused on its direct physical manifestations.",environment
928,"At a Republican dinner in Lewiston, Maine, on Saturday night, Sen. Susan Collins gave a rousing welcome to former Gov. Paul LePage, whined about dark money being spent against her, and lied about the damage done by the 2017 tax scam bill, for which she provided the deciding vote. ",taxes
929,"Crawley, whose 86-year-old grandmother Ruth Whitfield was killed, said Gendron made his victims immortal instead of gaining support for his hateful cause.",gun control
930,"The Golden Globes kick off the Hollywood awards season on Sunday, but the most talked-about attraction at the customarily boozy dinner in Beverly Hills may be the wicked tongue of host Ricky Gervais.",#metoo
931,"This is a positive for the party’s electoral prospects, after a bitterly fragmented primary. Unfortunately, the people selected for the task forces demonstrate how not only the party establishment, but even an insurgent progressive like Sanders, privilege certain topics over others. The criminal justice reform task force is incredibly milquetoast.",elections 2020
932,"A third of the participants were indirectly affected by the wildfires, while one-third had managed to avoided direct impacts to their health and livelihoods.",environment
933,"All wearing masks as mandated by the church, and some in Black Lives Matter T-shirts, mourner after mourner walked slowly past the casket to pay their respects to Brooks, who lay in a white suit with gold buttons and aviator sunglasses on his face.",black lives matter
934,"On Chicago’s Magnificent Mile, for instance, stores like Gucci, H&M and Nordstrom are open but remain clad in plywood, having being looted months ago.",black lives matter
935,"Model Paulina Porizkova — who was on the cover of the Sports Illustrated Swimsuit says that, at the time, sexual harassment was such an ingrained part of the business, it was viewed as a “compliment.”",#metoo
936,"Instead today, we see an alliance between corporate media and corporate tech titans to squelch debate, silence conservatives, and literally censor regular Americans, dissenting scientists, newspaper competitors, and even the president of the United States.",vaccine
937,"For years, people opposed to vaccines have flooded Hotez’s social media accounts, calling him a shill for the pharmaceutical industry, though he’s never been paid by a drugmaker. ",vaccines
938,"Bush, who has largely avoided politics since leaving office in 2009, has recently weighed in on the Chinese coronavirus pandemic and the death of George Floyd — and while neither statement mentioned President Trump by name, they were regarded as veiled swipes at his handling of both matters.",trump presidency
939,"Steven Hatfill, MD, a virologist with master’s degrees in microbial genetics, radiation biochemistry, and experimental pathology, does not put his faith in large bureaucratic organizations such as the World Health Organization (WHO).",vaccines
940,"Conservative commentator Ben Shapiro wants you to know that he’s so pro-life, he wouldn’t even consider aborting baby Hitler.",abortion
941,"I'm also struck by Blackburn's style of needlessly toxic politics, once again questioning the patriotism of a decorated U.S. Army combat veteran who earned a Purple Heart.",white nationalism
942,"A group of House Republicans gathered Tuesday on Capitol Hill to express their anger over two bills proposed by their Democratic colleagues that, if passed, would drastically tighten federal gun laws.",gun control
943,And Keon’s pretend Asian language is the latest incarnation of the racist trope that drew roars of laughter in the classic 1961 movie Breakfast at Tiffany’s—where Mickey Rooney (in yellow-face complete with fake buck-teeth) gives a racist performance for the ages.,white nationalism
944,"Research shows that police brutality has health consequences for individuals who are victimized, and that those who live in disproportionately policed communities have poor health.",white nationalism
945,Stephen Colbert and Jimmy Kimmel are firing back after President Donald Trump's biting comments about them and fellow late-night hosts Jimmy Fallon and Seth Meyers.,trump presidency
946,"The Proud Boys, a far-right group with a history of violent confrontations, is gaining increased national scrutiny as academics and advocates have warned the group has ties to white supremacy.",islam
947,"President Obama stubbornly refused to use the term “radical Islam” through the end of his presidency, because he thought it somehow insulted Muslims or emboldened Islamist terrorists.",islam
948,"They overwhelmingly voted no-confidence in Keon’s leadership, as did the faculty senate, and the PNW chapter of the American University Association of University Professors called for his resignation.",white nationalism
949,"Meanwhile, lawmakers in several states ― including Louisiana ― are actively attempting to block abortions at six weeks of pregnancy, making the added wait time that comes with an admitting privileges law even more damaging to reproductive rights.",abortion
950,"Numerous #BlackLivesMatter protests have overwhelmed cities across the country, with many turning violent and resulting in extensive property damage and even deaths, including David Dorn, a retired captain for the St. Louis Police, who was black.",black lives matter
951,"That the Secret Service takes precautions to protect the president in a time of chaos is, in itself, to be expected. But the contrast between Trump’s chest-thumping and the fact that he was cowering in the basement was objectively funny.  Unsurprisingly, a lot of people made fun of him, and he didn’t like it.",trump presidency
952,"The latter featured Clinton’s typical thimble full of warmth and charm, but with an amusing preamble.",vaccine
953,"Democrat presidential candidate Joe Biden, who boasted during the CNN debate Sunday evening of his 100 percent rating from abortion political advocacy group NARAL, presents his “Agenda for the Catholic Community” at his campaign website.",marriage equality
954,"The antifa movement — a network of loosely organized radical groups who use direct action to fight the far-right and fascism — has been targeted by President Donald Trump as the force behind some of the violence and property destruction seen at some protests, though little evidence has been provided for such claims.",blm
955,"For twenty days, from the day the first death from coronavirus was known, Democrats did nothing about it. They were too busy with the president’s impeachment trial — a trial Pelosi had delayed unnecessarily for several weeks.",coronavirus
956,"More than 150 world renowned academics, writers and artists signed a letter published on Tuesday expressing support for global anti-racism protests while lamenting an “intolerant climate that has set in on all sides”.",black lives matter
957,Proponents of stricter protections for students argue the DOE’s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student defaulting on their loans.,student debt
958,"President Donald Trump on Tuesday praised U.S. police departments and downplayed police violence against Black people, saying “more white people” are killed by police officers.",black lives matter
959,"“Today at noon, a number of students were poisoned at the Khayyam girls’ school in the city of Pardis, Tehran province,” the Tasnim news agency reported on Tuesday.",islam
960,"Chinese companies are using a state-run labor program to force its mostly Muslim Uighur minorities into manufacturing masks and other personal protective equipment to keep up with increased demands during the coronavirus pandemic, an investigation by the New York Times said Sunday.",islam
961,"Now, Trump’s economic advisers and his unqualified son-in-law Jared Kushner have another way to undermine Social Security: The so-called “Eagle Plan,” which would be more aptly named the Work ’Til You Die Plan.",taxes
962,It’s also true that in no time in modern American history has a president’s disposition and rhetoric conflicted more dramatically with the outcomes of his administration. But that has been a net win for the Constitution.,trump presidency
963,The good news is that the measures we are taking to prevent COVID-19 also help protect against the flu because both viruses are contagious respiratory infections spread through droplets.,vaccine
964,"Borrowing from Hillary Clinton, leftist Italian media have labeled those attending the pro-family Congress a “list of deplorables,” calling pro-life and pro-family advocates “neofascists” and “homophobes.”",gender
965,"The new law forces radical sexual ideology and its indoctrination into the minds and hearts of our children again, without parental recourse.",marriage equality
966,"The issue isn't whether farmers need or deserve aid but whether we recognize that we are one society that must care for all its people, wherever they live and whatever their political allegiances.",taxes
967,Pro-Trump fanatics are violently attacking protesters — and Fox News wants them to go further,gun control
968,"Anyone who has seen the Sky series Chernobyl will recognise the kind of stolid, bureaucratic mindset captured in this damning paragraph from the report.",universal health care
969,Medically unnecessary laws regulating abortion have been exposed as dishonest attempts to close clinics.,abortion
970,"Celebrity activist Alyssa Milano declared at a rally in Washington, D.C. Tuesday that because she has a vagina, she doesn’t have “equality and justice” in America.",gender
971,"With this in mind, the Trump administration reportedly hopes to reduce poverty in the United States, not by making a material difference in struggling families’ finances, but by tinkering with the threshold for what counts as poverty.",middle class
972,"Middle-class exodus: From 2007 to 2016, California lost a net million residents — some 2.5% of its population (which still grows due to births and immigration). ",taxes
973,"n her dimly lit room in a Malaysian village, Suki rests on a bed as she recovers from a brutal attack that has highlighted what campaigners say is growing hostility towards gay and transgender people in the country.",blm
974,"Spiers continues: “Adoption is often just as traumatic as the right thinks abortion is, if not more so, as a woman has to relinquish not a lump of cells but a fully formed baby she has lived with for nine months.”",abortion
975,The Georgia Democrats took wire hangers and bottles of bleach to the House floor in protest as symbols of the self-induced abortions that many desperate women dangerously attempt when the aid of a doctor isn’t available or allowed.,abortion
976,Trump made no mention at either campaign stop of the furor in Washington over his refusal on Wednesday to commit to a peaceful transfer of power if he loses the election.,vaccine
977,"Month by month, the cost of wasting so much money on weaponry and other military expenses grows higher, as defense contractor salaries continue to be fattened at taxpayer expense, while public health resources are robbed of financial support.",vaccine
978,"Kendrick, who, like many Planned Parenthood supporters, blames men for pro-life legislation while she ignores mention of the life of unborn babies, also drafted a “testicular bill of rights.",abortion
979,"Following a terrible school shooting in Parkland, Florida, last year, CNN hosted an anti-gun rally that whitewashed Sheriff Scott Israel’s fatal errors.",gun control
980,President Donald Trump said on Tuesday that the Republican convention due to be held in North Carolina in August will have to be held in another state because of social distancing restrictions ordered by the state’s Democratic governor.,elections 2020
981,"The spring thaw has a history of ruining plans by armies to attack across Ukraine and western Russia, turning roads into rivers and fields into quagmires.",international politics and world news
982,"In the latest horrifying killing in gun-free Britain, a man was slashed to death with a machete on the streets of Wolverhampton, England on Monday.",gun control
983,"Cartwright, who represents Pennsylvania’s eighth congressional district, launched a campaign ad recently, claiming that Bognet would eliminate health insurance coverage for millions of Americans.",universal health care
984,"Activists have compared those responsible for the suspected attacks to the Taliban in Afghanistan and Boko Haram in the Sahel, who oppose girls’ education.",islam
985,These very nasty but cunning and well-organised thugs have used every propaganda trick in the book to persuade gullible teens and early-twentysomethings on social media accounts like Instagram that these protests are good because they’re against ‘racism. ,black lives matter
986,"He pointed out, in blunt and colorful language, that economic suicide in pursuit of the latter goal is insanity. His video went viral.",coronavirus
987,America would be better off as a borderless rest stop for the world’s predators and parasites.,marriage equality
988,"Former Tulsa detention officer Christopher Straight has been charged with first-degree manslaughter after he provoked and then fatally Carlos Carson earlier this month, and newly released surveillance video shows the 36-year-old Black man had his back turned when the attack began, reported The Guardian.",black lives matter
989,"Hopes that the epidemic that started in China late last year would be over in months, and that economic activity would quickly return to normal, have been shattered.",vaccine
990,"The result of this tribalism will not be a catharsis of white identity, improving equality for non-whites. It will be resentment towards being the only tribe not given the special treatment bestowed by victimhood.",white nationalism
991,"Personalized healthcare eliminates needless layers of bureaucracy and harmful regulations, letting doctors focus on their patients. ",universal health care
992,"While the overwhelming majority of Americans choose to have their children vaccinated, the number of children who go completely unvaccinated is rising.",vaccines
993,"Leaving his home for the second time in a week, Biden recognized the death of George Floyd, a black man who was killed in Minneapolis police custody last week.",blm
994,Proponents of stricter protections for students argue the DOE’s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student failing to pay back their loans.,student debt
995,"“The FBI has for quite some time now assessed that the origins of the pandemic are most likely a potential lab incident in Wuhan,” Wray told Fox News’ Brett Baier, adding that the assessment was based on research the agency’s analysts, including scientists, had conducted and that “our work related to this continues”.",coronavirus
996,An hourlong oral argument Wednesday inside the Supreme Court could go a long way toward reversing abortion rights in the USA. ,abortion
997,"Anthony Fauci, the top U.S. infectious diseases expert, apologized on Thursday after casting doubt over the rigor of the British regulators who approved the Pfizer vaccine against COVID-19 and said he had faith in their work.",vaccine
998,"America's atrociously inadequate welfare state makes it by far the most vulnerable rich country to a viral pandemic, and the vicious, right-wing ideology of the Republican Party has wrecked the government's ability to manage crises of any kind.",vaccine
999,"The agency said 35 students had been transferred to hospital so far, adding to the hundreds of cases of poisoning since November in at least two other cities, including Qom.",islam
1000,"Trump enjoys and encourages state brutality against people of color, and black people in particular. It excites him and his most ardent followers. But his response isn’t just based on personal predilections. It’s also based on political considerations.",elections 2020
1001,"The fish are still flying at the Pike Place Market, and, though workers say things seem a little slower than usual, this famous tourist hot spot remains in full operation despite government warnings about the coronavirus. 
",coronavirus
1002,"While Pace receives her spiritual grace from a Christian God, science has shown that faith in a supernatural wonder, whatever it may be, that bears powerful benefits on an individual’s mental and even physical well-being.",coronavirus
1003,"Gun control groups hit back, saying the closures are strictly a public health matter — even as a number of sympathetic Democratic governors acknowledge bowing to pressure from lawsuits and the Trump administration.",gun control
1004,"There is zero chance any significant resistance to their demands will be mounted by a single Democrat lawmaker, no matter what they tell gullible red and purple-state constituents when they run for office as “moderates” who respect the hell out of America’s gun rights.",gun control
1005,The Vegan Society has said that vegans should be given their own shelf in refrigerators at work and employers should protect them from offensive jokes about their dietary choices.,marriage equality
1006,"Thunberg lambasted business and political elites gathered at WEF Tuesday for not doing enough to tackle climate change, warning that time was running out.",environment
1007,He is enjoying the benefits of those guns while working hard to be sure average Americans cannot own them.,gun control
1008,"But without that intervention, we must assume that the bus drivers were under instructions to leave them there, in a residential neighborhood on a frigid night, wearing only light clothing, not speaking the language, and having no idea where they were.”",immigration
1009,"For example, after the introduction of Medicare and Medicaid, hospital use increased among elderly and low-income persons but decreased among younger and higher-income persons.",universal health care
1010,"Like the Roman Empire in its decline, the United States is now vomiting up grotesque spectacles.",islam
1011,"A 16-time NBA All Star who is considered one of the greatest basketball players of all time, James, 35, reacted angrily this week to the shooting of Blake in Kenosha, Wisconsin, which sparked days of civil unrest.",black lives matter
1012,"Britain’s opposition Labour Party published its election manifesto on Thursday, including plans for higher taxes to raise billions of pounds for more public spending and tougher regulation of London’s huge financial services industry.",taxes
1013,"Many people in politics and media are still not used to female power, and Pelosi’s novel position, while creating some pointless problems for her, also gives her some surprising advantages.",gender
1014,"But Bannon — the former Harvard Business School grad, Goldman Sachs managing director, and Hollywood mogul — cast California as a linchpin in the fight to halt the spread of what he called the globalist and elitist agenda. He urged Republicans to organize, rise up — and put up a fight to hold on to California House seats that are considered vulnerable in 2018.",trump presidency
1015,The backlash by health-care professionals and science advocates was immediate and widespread. And for good reason.,vaccine
1016,"But as early as this month, the U.S. Supreme Court could issue a decision that would mean the end of deferred action for Paz and hundreds of thousands of other young immigrants.",immigration
1017,We did consent to the lockdowns and now are suffering under the insanity that has flowed from them—economic suicide and petty local laws that serve no purpose other than to nanny us into submission.,coronavirus
1018,"Interestingly, in addition to his leftward missions of social engineering, Bloomberg has taken on a rightward mission of economic self-interest for himself and his fat-cat friends: stopping a wealth tax.",taxes
1019,And while some of these more cartoonish members are still on Capitol Hill we’re occasionally reminded about the torch being passed to a new generation of lawmakers who are equally difficult to take seriously.,gun control
1020,"As also, of course, even more depressingly are the police – several of whom have been caught on camera abasing themselves before the mob by going down on the knees as if to beg for mercy for their ‘white privilege’.",black lives matter
1021,The White House issued an emailed statement after a spokesman for the House of Representatives committee holding the hearing said the panel had been informed by Trump administration officials that Fauci had been blocked from testifying.,vaccine
1022,Iran – which has been under fire this week after videos of men kissing and licking holy shrines in Qom went viral this week – has decided to cancel all Friday prayers in major cities.,islam
1023,"The rally also coincides with protests against police brutality and racism across the United States and globally, after the May killing of George Floyd here by a white police officer who knelt on his neck for nearly nine minutes.",black lives matter
1024,"Scuffles broke out between the Portland-based Patriot Prayer members and Black Lives Matter activists, with a Koin 6 photographer tweeting that he heard gunshots.",black lives matter
1025,Kamala Harris Attacks Efficacy Of Coronavirus Vaccine Because Orange Man Bad,vaccine
1026,Rap superstar Kanye West has hinted at postponing his bid for the U.S. presidency after questioning whether all black people should be voting for Democratic nominee Joe Biden.,gun control
1027,"After days of mounting pressure, the top soccer clubs in Britain said Friday they would ask their players to take a 30 percent pay cut as the sport grapples with the damaging fallout from the coronavirus crisis.",sport
1028,"We also need to figure out how people are dealing with it, and how we can make that better.”",environment
1029,"Nevertheless, Trump and other Republicans have tarred the protests as havens for terrorists intent on destroying property. ",trump presidency
1030,"The president, a onetime reality TV star, added some new surprises to the mix on Tuesday.",black lives matter
1031,"Before they decide whether to let this stand, congressional Republicans should probably have an uncomfortable conversation.",gun control
1032,"While the press had no problem regurgitating the propaganda Ben Rhodes created in the D.C. echo chamber to sell President Obama’s 2015 disastrous Iran deal, with Trump corporate media has opted to limit coverage of Iran’s horrific human rights abuses.",vaccine
1033,"Biden made the apocalyptic pronouncement while discussing climate change before a crowd of supporters in Peterborough, New Hampshire.",environment
1034,The death of Floyd has set off the biggest anti-racism protests seen in the United States in decades and sparked demonstrations worldwide.,black lives matter
1035,"The legislation, worked out between leading lawmakers and the Trump administration, denies President Donald Trump the full $5 billion he requested to help build his signature wall along the U.S.-Mexico border, keeping funding static at $1.37 billion for border barriers.",taxes
1036,Rep. Alexandria Ocasio-Cortez claimed her seat in the House of Representatives after challenging a long-time incumbent with a message of shaking up the status quo.,islam
1037,"Since 2016, Democrats have thrown sand, wrenches, and donkey poo into every gear of government to overturn the results of a free and fair election played by rules.",vaccines
1038,Confederate symbols have become a flashpoint in the protests that have sometimes turned violent and destructive.,marriage equality
1039,"The new “wealth tax” is not out of character for Warren, who has long railed against income inequality and the uber-rich, but would mark a move to the left by the party as a whole if it were adopted.",middle class
1040,Rep. Steve King’s (R-Iowa) comments on race earlier this month elicited a warranted firestorm of indignation across American politics and media.,white nationalism
1041,"Americans know President Donald Trump is an outrageous, scandal-ridden character.",universal health care
1042,"It is no secret that women are underrepresented in science, technology, engineering, and mathematics (STEM) careers. ",gender
1043,"Several dozen right-wing demonstrators, some of them armed, also gathered in Portland on Saturday to oppose anti-fascists and back police after 80 days of protests against racism and police violence in the Oregon capital, local television station Koin 6 News reported.",black lives matter
1044,"Just steps from where Trump spoke, peaceful protesters marched down blocked-off streets around the White House, Black Lives Matter Plaza and the Lincoln Memorial.",black lives matter
1045,"UFC Middleweight Champion Israel Adesanya’s comment that his opponent will ""crumble like the Twin Towers"", in addition to being terrible and inappropriate, also makes no sense. ",sport
1046,"Never, and I've seen a lot.",elections 2020
1047,You’ve heard of Jim Crow and Southern Segregation…? That was ALL Democrats.,marriage equality
1048,But the fact that Trump cloaks this fact by stoking false fears about immigrant crime and delivering rage-filled rants about “illegal” immigration shows that this isn’t some genuine and reasoned policy view about the costs and benefits of new entrants to the labor force — it’s a reactionary stance built atop anti-immigrant bigotry.,immigration
1049,"If you didn’t know, Donald Trump is golfing and hanging out with rich people in New Jersey this weekend, so of course, high on flattery, he’s holding media events.",taxes
1050,"This was not the president’s first gesture of warmth in the wake of Limbaugh’s sad revelation. The president took to Twitter to cheer him on, saying, “Many people do not know what a great guy & fantastic political talent the great Rush Limbaugh is. There is nobody like him. Looking for a speedy recovery for our friend!”",trump presidency
1051,"Ensuring a level playing field for athletes during their Olympic preparations may not be possible due to the coronavirus pandemic but it is a challenge World Athletics will strive to overcome, its president Sebastian Coe said.",sport
1052,"For Sens. Elizabeth Warren, D-Mass., Bernie Sanders, I-Vt., and others on the stage, it is to put the final bullet in what is left of the free market in health care.",universal health care
1053,"Victoria’s Secret spring campaign featuring transgender and plus-sized models marks a dramatic shift toward progressive feminism for Victoria’s Secret, which has been roiled by management changes in the past year.",gender
1054,"New York City parents and those across America where these evil restrictions are reemerging have to remember, and have to punish at the polls the politicians who steal this from our kids.",vaccine
1055,"If I am to take Ivanka Trump’s latest ejaculation of blithe stupidity seriously—and for the purposes of this column, sure, why not?—then I can only conclude that she is troubled by her unearned status, and that she plans to donate her entire inheritance to Americans whose labor was stolen from them.",universal health care
1056,"Former Vice President Joe Biden on Sunday made an unannounced visit to a site in Wilmington, Delaware where protests against police brutality and racism took place the night before.",blm
1057,"There's been a buffoonish quality to Ammon Bundy's brand of far-right ""constitutionalist"" politics over the past six months, primarily organized in a typically paranoid response to COVID-19-related public-health measures: Protesting at the home of a police officer who had arrested an anti-vaccination fanatic for violating the closure of a playground.",black lives matter
1058,"Nearly 60 percent of Americans now support the marginal tax rate program Ocasio-Cortez has proposed uncluding a remarkable 45 percent of Republicans, despite all the work right-wing media has done to demonize Ocasio-Cortez and anything related to her.",middle class
1059,"The impeachment trial of President Donald Trump begins in earnest in the U.S. Senate on Tuesday, after he was formally charged by the Democratic-controlled House of Representatives on Dec. 18 with “high crimes and misdemeanors.”",trump presidency
1060,"The Heroes Act contains many leftist provisions, including:",taxes
1061,"Trump is also attempting an obvious slow-motion coup, in which he is purging senior national security officials who have shown themselves unwilling to do his bidding, for example, by turning the country's military against the American people.",vaccine
1062,A federal judge on Monday overturned the Trump administration’s approval of a plan by the state of New Hampshire to impose work requirements on people seeking to obtain benefits from the Medicaid health insurance program.,universal health care
1063,"Of course, viruses don’t just “go away” regardless of the amount of propaganda or wishful thinking you throw at them. His theory, however, is telling. Trump’s strategy from the beginning of this crisis has been to minimize the threat and wish it away.",coronavirus
1064,"Reilly also suggested that Trump’s “grudge” against Puerto Rico correlates with a soured golf course deal on the island, and explained why the sport may be responsible for Trump’s embrace of a wild conspiracy theory about wind turbines causing cancer.",environment
1065,"Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement, saying that aid groups working with refugees should instead prioritize other Texans in need, including the state’s homeless population.",immigration
1066,"Democratic presidential candidate Joe Biden promised black community leaders in Delaware on Monday he would earn their support amid nationwide police brutality protests, saying he would create a police oversight board within his first 100 days in the White House.",elections 2020
1067,"A Twitter account claiming to belong to a national ""antifa"" organization and pushing violent rhetoric related to ongoing protests has been linked to the white nationalist group Identity Evropa, according to a Twitter spokesperson.",blm
1068,"Now, the data shows there is an aftershock in the form of the looming tsunami of student debt defaults that will hit communities of color the hardest, according to data compiled by the National Center for Education Statistics and Demos, a progressive think tank.",student debt
1069,"The media-anointed, all-knowing guru of COVID has been fudging the truth in order to encourage what he views as better behavior from the American people. Put simply, Fauci has been acting less like a public official and more like a parent keeping certain truths from his children.",vaccine
1070,"The debt load for those who pursue law or medical school will undoubtedly be higher, and might be stacked on top of existing debt incurred by undergraduate degrees.",student debt
1071,"Three Americans were killed Sunday when Islamic al-Shabab fighters made a rare breach of a U.S. military installation, as the drone base was on alert for retaliation from Iran.",islam
1072,"Urban modeled this system to cover all benefits required under Obamacare, and fund 80 percent of Americans’ expected health costs per year, equivalent to a Gold plan on the Obamacare exchanges.",universal health care
1073,It’s that devaluing that allows the perpetration of hateful speech and violence.,white nationalism
1074,"When the Muslim ban was first enacted, it triggered chaos at airports and prompted widespread protest and legal challenges, and it continues to impose devastating costs on families and people who wish to come to the U.S.",immigration
1075,But there was no sign that any gun legislation approved by the Democratic House majority would gain traction in the Republican-controlled Senate,gun control
1076,Connecticut State Police showed support for the protesters as troopers knelt along with them.,black lives matter
1077,"New York’s attorney general said on Friday she has settled a lawsuit against three companies accused of tricking struggling borrowers into paying more than $1,000 for student loan debt relief services that were available for free.",student debt
